"","baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"225","GB Hogg","Harbhajan Singh",35.6,0,FALSE,109,0,"India",1,"bat","Australia","9  wickets","Australia"
"226","DS Lehmann","A Kumble",36.1,1,FALSE,110,0,"India",1,"bat","Australia","9  wickets","Australia"
"227","DS Lehmann","Harbhajan Singh",36.2,0,FALSE,110,0,"India",1,"bat","Australia","9  wickets","Australia"
"228","DS Lehmann","Harbhajan Singh",36.3,0,FALSE,110,0,"India",1,"bat","Australia","9  wickets","Australia"
"229","DS Lehmann","Harbhajan Singh",36.4,1,FALSE,111,0,"India",1,"bat","Australia","9  wickets","Australia"
"230","DS Lehmann","A Kumble",36.5,0,FALSE,111,0,"India",1,"bat","Australia","9  wickets","Australia"
"231","DS Lehmann","A Kumble",36.6,1,FALSE,112,0,"India",1,"bat","Australia","9  wickets","Australia"
"232","GB Hogg","A Kumble",37.1,1,FALSE,113,0,"India",1,"bat","Australia","9  wickets","Australia"
"233","GB Hogg","Harbhajan Singh",37.2,0,FALSE,113,8,"India",1,"bat","Australia","9  wickets","Australia"
"234","GB Hogg","Z Khan",37.3,0,FALSE,113,0,"India",1,"bat","Australia","9  wickets","Australia"
"235","GB Hogg","Z Khan",37.4,0,FALSE,113,0,"India",1,"bat","Australia","9  wickets","Australia"
"236","GB Hogg","Z Khan",37.5,0,FALSE,113,0,"India",1,"bat","Australia","9  wickets","Australia"
"237","GB Hogg","Z Khan",37.6,0,FALSE,113,0,"India",1,"bat","Australia","9  wickets","Australia"
"238","DS Lehmann","A Kumble",38.1,0,FALSE,113,0,"India",1,"bat","Australia","9  wickets","Australia"
"239","DS Lehmann","A Kumble",38.2,0,FALSE,113,0,"India",1,"bat","Australia","9  wickets","Australia"
"240","DS Lehmann","A Kumble",38.3,0,FALSE,113,0,"India",1,"bat","Australia","9  wickets","Australia"
"241","DS Lehmann","A Kumble",38.4,0,FALSE,113,0,"India",1,"bat","Australia","9  wickets","Australia"
"242","DS Lehmann","A Kumble",38.5,1,FALSE,114,0,"India",1,"bat","Australia","9  wickets","Australia"
"243","DS Lehmann","Z Khan",38.6,0,FALSE,114,0,"India",1,"bat","Australia","9  wickets","Australia"
